name,price,prod_url
Viña Tarapacá Gran Reserva Cabernet Sauvignon 2017,17.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/vi%C3%B1a-tarapac%C3%A1-gran-reserva-cabernet-sauvignon-2017-18721
Jacob's Creek Shiraz Cabernet Sauvignon,24.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/jacobs-creek-shiraz-cabernet-sauvignon-19612
Fontanafredda Barolo DOCG,32.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/fontanafredda-barolo-docg-20214
Yellow Tail Shiraz,24.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/yellow-tail-shiraz-20289
Caparzo La Casa Brunello di Montalcino 2013,79.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/caparzo-la-casa-brunello-di-montalcino-2013-20750
Irony Cabernet Sauvignon 2016,24.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/irony-cabernet-sauvignon-2016-25106
Fonseca Periquita Red,9.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/fonseca-periquita-red-25262
Ruffino Il Ducale Toscana IGP,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/ruffino-il-ducale-toscana-igp-27797
Masi Modello Merlot Trevenezie IGT,24.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/masi-modello-merlot-trevenezie-igt-27854
Woodbridge By Robert Mondavi White Zinfandel,11.25,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/woodbridge-by-robert-mondavi-white-zinfandel-249656
L'Orangeraie Rose Pays D'OC,12.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/lorangeraie-rose-pays-doc-279661
Gallo Family Vineyards White Zinfandel,9.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/gallo-family-vineyards-white-zinfandel-285767
Cave Spring Dry Rosé VQA,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/cave-spring-dry-ros%C3%A9-vqa-295006
Batzella Bolgheri Rosato DOC PINKSY 2014,30.4,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/batzella-bolgheri-rosato-doc-pinksy-2014-307867
Carte Noire Rosé,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/carte-noire-ros%C3%A9-319384
Hex Vom Dasenstein Pinot Rosé Sekt Dry 2014,26.4,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/hex-vom-dasenstein-pinot-ros%C3%A9-sekt-dry-2014-319565
Pink House Wine Co. Rosé VQA,13.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/pink-house-wine-co-ros%C3%A9-vqa-324558
Saale-Unstrut Dornfelder Rosé DQW Semi-Dry 2016,17.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/saale-unstrut-dornfelder-ros%C3%A9-dqw-semi-dry-2016-334382
Trius Rosé VQA,17.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/trius-ros%C3%A9-vqa-341743
Gapsted Moscato Rosé 2016,15.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/gapsted-moscato-ros%C3%A9-2016-350503
Tamaral Rosado Ribera del Duero 2015,18.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/tamaral-rosado-ribera-del-duero-2015-353325
Fazi Battaglia Verdicchio Dei Castelli Di Jesi DOC,11.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/fazi-battaglia-verdicchio-dei-castelli-di-jesi-doc-24422
Flat Roof Manor Pinot Grigio,12.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/flat-roof-manor-pinot-grigio-27128
Goose Bay Sauvignon Blanc KPM,25.5,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/goose-bay-sauvignon-blanc-kpm-28134
Ruffino Orvieto Classico,12.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ruffino-orvieto-classico-31062
Liebfraumilch Drathen Qualitatswein Rheinhessen,11.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/liebfraumilch-drathen-qualitatswein-rheinhessen-32631
La Vieille Ferme Luberon Blanc AOC,22.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/la-vieille-ferme-luberon-blanc-aoc-34991
Kim Crawford Sauvignon Blanc,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/kim-crawford-sauvignon-blanc-35386
Vineland Estates Elevation St. Urban Vineyard Riesling,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/vineland-estates-elevation-st-urban-vineyard-riesling-38117
Yalumba Samuel's Garden Collection Wild Ferment Chardonnay 2016,24.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/yalumba-samuels-garden-collection-wild-ferment-chardonnay-2016-39271
Beringer Founders' Estate Pinot Grigio,17.45,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/beringer-founders-estate-pinot-grigio-45641
Fontana Di Papa White,19.4,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/fontana-di-papa-white-48140
Jaffelin Bourgogne Aligote AOC,17.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/jaffelin-bourgogne-aligote-aoc-53868
Cave Spring Blanc de Blancs Brut Sparkling,29.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/cave-spring-blanc-de-blancs-brut-sparkling-213983
Paul Delane Cremant De Bourgogne Reserve,21.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/paul-delane-cremant-de-bourgogne-reserve-214981
Codorniu Brut Clasico,14.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/codorniu-brut-clasico-215814
Mumm Cuvee Napa Brut Prestige,30.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/mumm-cuvee-napa-brut-prestige-217273
Brights President Dry Sparkling,10.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/brights-president-dry-sparkling-217315
Henry Of Pelham Cuvée Catharine Rosé Brut VQA,32.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/henry-of-pelham-cuv%C3%A9e-catharine-ros%C3%A9-brut-vqa-217505
Domaine Chandon Brut Classic,31.7,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/domaine-chandon-brut-classic-218032
Pelee Island Secco VQA,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/pelee-island-secco-vqa-225946
Angels Gate Archangel Brut Chardonnay 2013,29.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/angels-gate-archangel-brut-chardonnay-2013-227009
Jackson-Triggs Entourage Grand Reserve Brut 2015,29.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/jackson-triggs-entourage-grand-reserve-brut-2015-234161
Ode Panos Spiropoulos Mantina 2014,30.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/ode-panos-spiropoulos-mantina-2014-252154
Martini & Rossi Asti,8.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/martini-rossi-asti-253930
Dalton Safsufa Vineyards Cabernet Sauvignon KPM,25.55,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/dalton-safsufa-vineyards-cabernet-sauvignon-kpm-28266
Fat Bastard Cabernet Sauvignon Pays D'OC,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/fat-bastard-cabernet-sauvignon-pays-doc-28506
Cantine Due Palme Canonico Negroamaro Salento IGP,19.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/cantine-due-palme-canonico-negroamaro-salento-igp-28647
Clarence Dillon Clarendelle Red 2015,23.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/clarence-dillon-clarendelle-red-2015-28837
Ciao Sangiovese Organic Terra De Chieti IGP,12.55,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/ciao-sangiovese-organic-terra-de-chieti-igp-29090
Terrazas de los Andes Reserva Malbec 2016,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/terrazas-de-los-andes-reserva-malbec-2016-29280
Chateau Timberlay Bordeaux Superieur AOC,16.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/chateau-timberlay-bordeaux-superieur-aoc-30072
Mommessin Export St Pierre Rouge,15.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/mommessin-export-st-pierre-rouge-31211
Folonari Pinot Noir IGT,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/folonari-pinot-noir-igt-32888
Santa Carolina Reserva de Familia Carmenère 2015,22.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/santa-carolina-reserva-de-familia-carmen%C3%A8re-2015-34942
Pascual Toso Malbec,15.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/pascual-toso-malbec-35170
